"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","I-INV-MTN-RD","Total road spending","EUR_CONST","Constant Euro","2015","2015","EUR","Euro","0","Units",,,1235000000,,
"BEL","Belgium","I-INV-MTN-RD","Total road spending","EUR_CONST","Constant Euro","2016","2016","EUR","Euro","0","Units",,,1317473758.8373,,
"BEL","Belgium","I-INV-MTN-RD","Total road spending","EUR_CONST","Constant Euro","2017","2017","EUR","Euro","0","Units",,,1023621901.7707,"P","Provisional value"
"CHL","Chile","I-INV-MTN-RD","Total road spending","NAT","National currency","2015","2015","CLP","Chilean Peso","0","Units",,,1609883096724.9,,
"CHL","Chile","I-INV-MTN-RD","Total road spending","NAT","National currency","2016","2016","CLP","Chilean Peso","0","Units",,,1605394843631.9,,
"CHL","Chile","I-INV-MTN-RD","Total road spending","NAT","National currency","2017","2017","CLP","Chilean Peso","0","Units",,,1523426870825.3,"P","Provisional value"
"CHL","Chile","I-INV-MTN-RD","Total road spending","NAT","National currency","2018","2018","CLP","Chilean Peso","0","Units",,,1400267129782,"P","Provisional value"
"CHL","Chile","I-INV-MTN-RD","Total road spending","NAT","National currency","2019","2019","CLP","Chilean Peso","0","Units",,,1539438580520.3,"P","Provisional value"
"CHL","Chile","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,945437490.98056,,
"CHL","Chile","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2016","2016","EUR","Euro","0","Units",,,830897547.75939,,
"CHL","Chile","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2017","2017","EUR","Euro","0","Units",,,768899006.48252,,
"CHL","Chile","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2018","2018","EUR","Euro","0","Units",,,857798002.47727,,
"CHL","Chile","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2019","2019","EUR","Euro","0","Units",,,837821851.88096,,
"CHL","Chile","I-INV-MTN-RD","Total road spending","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,2218587769.2423,,
"CHL","Chile","I-INV-MTN-RD","Total road spending","EUR","Euro","2016","2016","EUR","Euro","0","Units",,,2144489884.3649,,
"CHL","Chile","I-INV-MTN-RD","Total road spending","EUR","Euro","2017","2017","EUR","Euro","0","Units",,,2082880024.2567,"P","Provisional value"
"CHL","Chile","I-INV-MTN-RD","Total road spending","EUR","Euro","2018","2018","EUR","Euro","0","Units",,,1850184852.554,"P","Provisional value"
"CHL","Chile","I-INV-MTN-RD","Total road spending","EUR","Euro","2019","2019","EUR","Euro","0","Units",,,1956551480.3287,"P","Provisional value"
"FRA","France","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2015","2015","EUR","Euro","0","Units",,,18751564322,,
"FRA","France","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2016","2016","EUR","Euro","0","Units",,,18022900000,,
"FRA","France","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2017","2017","EUR","Euro","0","Units",,,18449830000,,
"FRA","France","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2018","2018","EUR","Euro","0","Units",,,19759910000,,
"FRA","France","I-INV-TOT-INLD","Total inland transport infrastructure investment","NAT","National currency","2019","2019","EUR","Euro","0","Units",,,21609000000,,
"FRA","France","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2015","2015","EUR","Euro","0","Units",,,2598230000,,
"FRA","France","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2016","2016","EUR","Euro","0","Units",,,2430850000,,
"FRA","France","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2017","2017","EUR","Euro","0","Units",,,2369230000,,
"FRA","France","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2018","2018","EUR","Euro","0","Units",,,2370650000,,
"FRA","France","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2019","2019","EUR","Euro","0","Units",,,2324750000,,
"FRA","France","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","NAT","National currency","2015","2015","EUR","Euro","0","Units",,,702293129367.29,,
"FRA","France","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","NAT","National currency","2016","2016","EUR","Euro","0","Units",,,703610165193.78,,
"FRA","France","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","NAT","National currency","2017","2017","EUR","Euro","0","Units",,,705612113048.01,,
"FRA","France","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","NAT","National currency","2018","2018","EUR","Euro","0","Units",,,708178232732.2,,
"FRA","France","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","NAT","National currency","2019","2019","EUR","Euro","0","Units",,,711927771928.64,,
"FRA","France","I-INV-MTN-RD","Total road spending","NAT","National currency","2015","2015","EUR","Euro","0","Units",,,12609456322,,
"FRA","France","I-INV-MTN-RD","Total road spending","NAT","National currency","2016","2016","EUR","Euro","0","Units",,,11646850000,,
"FRA","France","I-INV-MTN-RD","Total road spending","NAT","National currency","2017","2017","EUR","Euro","0","Units",,,11449230000,,
"FRA","France","I-INV-MTN-RD","Total road spending","NAT","National currency","2018","2018","EUR","Euro","0","Units",,,12002650000,,
"FRA","France","I-INV-MTN-RD","Total road spending","NAT","National currency","2019","2019","EUR","Euro","0","Units",,,12140750000,,
"FRA","France","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,18751564322,,
"FRA","France","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2016","2016","EUR","Euro","0","Units",,,18022900000,,
"FRA","France","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2017","2017","EUR","Euro","0","Units",,,18449830000,,
"FRA","France","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2018","2018","EUR","Euro","0","Units",,,19759910000,,
"FRA","France","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR","Euro","2019","2019","EUR","Euro","0","Units",,,21609000000,,
"FRA","France","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,2598230000,,
"FRA","France","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2016","2016","EUR","Euro","0","Units",,,2430850000,,
"FRA","France","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2017","2017","EUR","Euro","0","Units",,,2369230000,,
"FRA","France","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2018","2018","EUR","Euro","0","Units",,,2370650000,,
"FRA","France","I-MTN-RD","Road infrastructure maintenance","EUR","Euro","2019","2019","EUR","Euro","0","Units",,,2324750000,,
"FRA","France","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,702293129367.29,,
"FRA","France","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","EUR","Euro","2016","2016","EUR","Euro","0","Units",,,703610165193.78,,
"FRA","France","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","EUR","Euro","2017","2017","EUR","Euro","0","Units",,,705612113048.01,,
"FRA","France","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","EUR","Euro","2018","2018","EUR","Euro","0","Units",,,708178232732.2,,
"FRA","France","I-CPV-TOT-INLD","Total inland transport infrastructure capital value","EUR","Euro","2019","2019","EUR","Euro","0","Units",,,711927771928.64,,
"FRA","France","I-INV-MTN-RD","Total road spending","EUR","Euro","2015","2015","EUR","Euro","0","Units",,,12609456322,,
"FRA","France","I-INV-MTN-RD","Total road spending","EUR","Euro","2016","2016","EUR","Euro","0","Units",,,11646850000,,
"FRA","France","I-INV-MTN-RD","Total road spending","EUR","Euro","2017","2017","EUR","Euro","0","Units",,,11449230000,,
"FRA","France","I-INV-MTN-RD","Total road spending","EUR","Euro","2018","2018","EUR","Euro","0","Units",,,12002650000,,
"FRA","France","I-INV-MTN-RD","Total road spending","EUR","Euro","2019","2019","EUR","Euro","0","Units",,,12140750000,,
"FRA","France","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR_CONST","Constant Euro","2015","2015","EUR","Euro","0","Units",,,18751564322,,
"FRA","France","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR_CONST","Constant Euro","2016","2016","EUR","Euro","0","Units",,,18371967380.224,,
"FRA","France","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR_CONST","Constant Euro","2017","2017","EUR","Euro","0","Units",,,17921155900.923,,
"FRA","France","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR_CONST","Constant Euro","2018","2018","EUR","Euro","0","Units",,,18252609506.919,,
"FRA","France","I-INV-TOT-INLD","Total inland transport infrastructure investment","EUR_CONST","Constant Euro","2019","2019","EUR","Euro","0","Units",,,19587208353.728,,
